generation,fitness_value
0,3018068.3385481453
1,3018068.3385481453
2,3018068.3385481453
3,3018068.3385481453
4,3018068.3385481453
5,3018068.3385481453
6,3018068.3385481453
7,3018068.3385481453
8,1651685.182313658
9,1651685.182313658
10,1651685.182313658
11,1651685.182313658
12,1651685.182313658
13,1651685.182313658
14,1651685.182313658
15,1651685.182313658
16,1651685.182313658
17,1651685.182313658
18,1651685.182313658
19,1651685.182313658
20,1651685.182313658
21,1651685.182313658
22,1651685.182313658
23,1651685.182313658
24,1651685.182313658
25,1651685.182313658
26,1651685.182313658
27,1651685.182313658
28,1651685.182313658
29,1651685.182313658
30,1651685.182313658
31,1651685.182313658
32,1651685.182313658
33,1651685.182313658
34,1651685.182313658
35,1651685.182313658
36,1651685.182313658
37,1651685.182313658
38,1651685.182313658
39,1651685.182313658
40,1651685.182313658
41,1651685.182313658
42,1651685.182313658
43,1651685.182313658
44,1651685.182313658
45,1651685.182313658
46,1651685.182313658
47,1651685.182313658
48,1651685.182313658
49,1651685.182313658
